id:ID(EVENT),event_type,type,event_subtype,publish_time,Entity_type
4330fc0411f111ebabda0242ac110010,contact,event,meet,1602401940,event
43332c3611f111ebabda0242ac110010,movement,event,transport,1602374760,event
433330a011f111ebabda0242ac110010,transaction,event,transfer_ownership,1602374760,event
4334877011f111ebabda0242ac110010,life,event,marry,1602402780,event
43348c8411f111ebabda0242ac110010,personnel,event,start_position,1602402780,event
43348f7c11f111ebabda0242ac110010,movement,event,transport,1602402780,event
4334923811f111ebabda0242ac110010,personnel,event,start_position,1602402780,event
4334944011f111ebabda0242ac110010,justice,event,arrest_jail,1602402780,event
4335016411f111ebabda0242ac110010,movement,event,transport,1602384600,event
43361cca11f111ebabda0242ac110010,contact,event,meet,1602386760,event
